date,open,high,low,volume,close
2013-01-21,15.7,17.0,15.6,61502,16.8
2013-01-22,16.8,17.6,16.6,60975,17.3
2013-01-23,17.3,17.6,16.8,49439,17.5
2013-01-24,17.5,19.2,15.6,172009,16.9
2013-01-25,16.9,17.8,15.4,80767,17.4
2013-01-26,17.4,17.9,16.5,34811,17.9
2013-01-27,17.9,18.0,17.2,23767,17.8
2013-01-28,17.8,18.9,17.8,57669,18.7
2013-01-29,18.7,19.8,18.7,86082,19.5
2013-01-30,19.5,19.8,19.1,45065,19.7
2013-01-31,19.7,21.4,19.5,99227,20.4
2013-02-01,20.4,21.1,20.3,49917,20.5
2013-02-02,20.5,20.5,18.0,80502,19.6
2013-02-03,19.6,20.9,19.4,34244,20.6
2013-02-04,20.6,21.0,19.9,52219,20.4
2013-02-05,20.4,20.8,20.2,29212,20.6
2013-02-06,20.6,21.3,20.6,51990,21.2
2013-02-07,21.2,22.2,20.8,64264,22.1
2013-02-08,22.1,22.8,22.0,48650,22.7
2013-02-09,22.7,24.0,22.6,38133,23.6
2013-02-10,23.6,24.1,22.7,56426,24.0
2013-02-11,24.0,24.7,23.6,29527,24.6
2013-02-12,24.6,25.8,24.3,74240,25.2
2013-02-13,25.2,26.3,24.2,90150,24.2
2013-02-14,24.2,27.6,21.7,145735,27.2
2013-02-15,27.2,27.5,26.1,51714,27.1
2013-02-16,27.1,27.5,26.8,18827,27.2
2013-02-17,27.2,27.4,25.0,77042,26.8
2013-02-18,26.8,27.1,26.4,29744,27.0
2013-02-19,27.0,29.6,26.8,99699,29.4
2013-02-20,29.4,29.9,29.0,37209,29.6
2013-02-21,29.6,30.0,29.3,34731,29.8
2013-02-22,29.8,31.3,29.7,66952,30.3
2013-02-23,30.3,30.7,28.0,72278,29.8
2013-02-24,29.8,30.4,29.2,24275,29.9
2013-02-25,29.9,30.4,29.5,26779,30.4
2013-02-26,30.4,31.7,30.1,42864,31.1
2013-02-27,31.1,31.6,30.8,30473,30.9
2013-02-28,30.9,34.5,30.9,126517,33.4
2013-03-01,33.4,34.9,32.9,39786,34.5
2013-03-02,34.5,34.8,33.2,36662,34.3
2013-03-03,34.3,34.5,33.8,12525,34.5
2013-03-04,34.5,36.7,34.2,46771,36.2
2013-03-05,36.2,40.7,36.2,85426,40.3
2013-03-06,40.3,49.1,40.1,126452,41.0
2013-03-07,41.0,45.5,33.3,157316,42.0
2013-03-08,42.0,44.5,41.0,47096,44.2
2013-03-09,44.2,47.0,43.4,44476,46.8
2013-03-10,46.8,48.0,45.5,36363,46.0
2013-03-11,46.0,48.5,45.5,41390,48.4
2013-03-12,48.4,48.4,36.7,183412,44.3
2013-03-13,44.3,47.3,43.8,49515,46.9
2013-03-14,46.9,48.0,46.0,37042,47.2
2013-03-15,47.2,47.5,46.4,20286,47.0
2013-03-16,47.0,47.4,46.3,16315,47.0
2013-03-17,47.0,47.7,46.8,13937,47.4
2013-03-18,47.4,52.9,47.1,65312,51.6
2013-03-19,51.6,62.0,50.0,111704,59.1
2013-03-20,59.1,66.0,57.7,93137,64.5
2013-03-21,64.5,74.9,63.1,94308,70.8
2013-03-22,70.8,73.8,65.0,73197,69.9
2013-03-23,69.9,70.5,52.3,150463,64.3
2013-03-24,64.3,72.5,62.7,42023,71.5
2013-03-25,71.5,78.0,69.5,79743,73.6
2013-03-26,73.6,79.7,73.1,56667,78.5
2013-03-27,78.5,89.5,78.4,72227,88.9
2013-03-28,88.9,95.7,75.0,140263,86.2
2013-03-29,86.2,93.1,83.0,83175,90.5
2013-03-30,90.5,95.0,87.0,37285,92.2
2013-03-31,92.2,93.8,91.0,21130,93.0
2013-04-01,93.0,106.0,92.2,90563,104.0
2013-04-02,104.0,118.4,99.0,81285,118.0
2013-04-03,118.0,147.0,110.0,152714,135.0
2013-04-04,135.0,142.1,116.4,88363,132.1
2013-04-05,132.1,144.9,130.2,68589,142.3
2013-04-06,142.3,143.9,139.5,18288,142.6
2013-04-07,142.6,164.9,142.6,60955,162.3
2013-04-08,162.3,194.9,162.6,114251,187.5
2013-04-09,187.5,240.1,186.5,105842,230.0
2013-04-10,230.0,266.0,105.0,190175,165.0
2013-04-11,165.0,188.7,110.2,118748,124.9
2013-04-12,124.9,140.0,54.3,556468,117.0
2013-04-13,117.0,130.0,85.5,238348,93.0
